SAMPLEDATEI,OILR,WATERR,GASR,CO2R,TESTTIMER,SPTCODEI,SALINITYR,WELLHEADPRESSR,WELLHEADTEMPR,CHOKESIZER,FLOWLINEPRESSR,HEADERPRESSR,SEPARATORPRESSR,TUBINGPRESSR,CASINGPRESSR,
1122647220,20.7999992,691.0000000,0.0000000,0.0000000,24.0000000,0,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,
1116526941,83.0000000,412.0000000,0.0000000,0.0000000,2.0000000,9,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,
1023876183,1.0000000,2.0000000,0.0000000,0.0000000,24.0000000,1,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,
1026468183,2.0000000,140.0000000,0.0000000,0.0000000,24.0000000,0,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,
1028368983,0.0000000,11.0000000,0.0000000,0.0000000,24.0000000,9,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,
1029578583,43.0000000,900.0000000,0.0000000,0.0000000,24.0000000,0,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,
1029924183,14.0000000,510.0000000,0.0000000,0.0000000,24.0000000,0,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,
1063879383,18.0000000,432.0000000,0.0000000,0.0000000,0.0000000,0,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,
1064916183,30.0000000,575.0000000,0.0000000,0.0000000,24.0000000,0,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,
1065693783,27.6000004,523.7000122,0.7000000,0.0000000,2.0000000,1,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,
